MFCC_1_Mean,MFCC_2_Mean,MFCC_3_Mean,MFCC_4_Mean,MFCC_5_Mean,MFCC_6_Mean,MFCC_7_Mean,MFCC_8_Mean,MFCC_9_Mean,MFCC_10_Mean,MFCC_11_Mean,MFCC_12_Mean,MFCC_13_Mean,Delta_1_Mean,Delta_2_Mean,Delta_3_Mean,Delta_4_Mean,Delta_5_Mean,Delta_6_Mean,Delta_7_Mean,Delta_8_Mean,Delta_9_Mean,Delta_10_Mean,Delta_11_Mean,Delta_12_Mean,Delta_13_Mean,Delta2_1_Mean,Delta2_2_Mean,Delta2_3_Mean,Delta2_4_Mean,Delta2_5_Mean,Delta2_6_Mean,Delta2_7_Mean,Delta2_8_Mean,Delta2_9_Mean,Delta2_10_Mean,Delta2_11_Mean,Delta2_12_Mean,Delta2_13_Mean,MFCC_1_Std,MFCC_2_Std,MFCC_3_Std,MFCC_4_Std,MFCC_5_Std,MFCC_6_Std,MFCC_7_Std,MFCC_8_Std,MFCC_9_Std,MFCC_10_Std,MFCC_11_Std,MFCC_12_Std,MFCC_13_Std,Delta_1_Std,Delta_2_Std,Delta_3_Std,Delta_4_Std,Delta_5_Std,Delta_6_Std,Delta_7_Std,Delta_8_Std,Delta_9_Std,Delta_10_Std,Delta_11_Std,Delta_12_Std,Delta_13_Std,Delta2_1_Std,Delta2_2_Std,Delta2_3_Std,Delta2_4_Std,Delta2_5_Std,Delta2_6_Std,Delta2_7_Std,Delta2_8_Std,Delta2_9_Std,Delta2_10_Std,Delta2_11_Std,Delta2_12_Std,Delta2_13_Std,Pitch(f0)_Mean,Pitch(f0)_Std,Pitch(f0)_Min,Pitch(f0)_Max,Energy(RMS)_Mean,Energy(RMS)_Std,Energy(RMS)_Min,Energy(RMS)_Max,ZCR_Mean,ZCR_Std,ZCR_Min,ZCR_Max,F1_Mean,F1_Std,F1_Min,F1_Max,F2_Mean,F2_Std,F2_Min,F2_Max,F3_Mean,F3_Std,F3_Min,F3_Max,dialect
-346.4795837,132.17323303222656,-12.08989525,15.443170547485352,-18.47630501,-11.50882053,-16.11690521,-1.707064867,-10.66391659,-5.070608139,-10.51403713,-8.161597252,-7.695071697,-0.054022346,0.074091829,0.019940748810768127,-0.050938103,0.014063912443816662,-0.07937222,-0.053091064,0.005599866,0.056542363,0.038329076021909714,-0.016466774,0.035970103,0.008805363,0.025783877819776535,0.018517798,-0.032918938,-0.016376758,-0.014170228,-0.020562526,0.001660894,-0.001578356,-0.010342705,0.009864502,-0.00515272,0.013183231465518475,0.008552616,69.96002960205078,36.473594665527344,26.186641693115234,21.239500045776367,18.183778762817383,13.959654808044434,15.265976905822754,13.682657241821289,10.965742111206055,10.177669525146484,10.236995697021484,10.73326301574707,8.837946891784668,10.800211906433105,5.003246307373047,4.193614959716797,3.1376898288726807,2.5337178707122803,2.074272394180298,2.188460111618042,1.6990711688995361,1.7083626985549927,1.561645746231079,1.5419155359268188,1.6928329467773438,1.4709372520446777,5.687287807,2.5785937309265137,2.251410961151123,1.717395544052124,1.4837108850479126,1.268083095550537,1.2469030618667603,1.1341832876205444,1.1283910274505615,1.1326695680618286,0.9744238257408142,1.1182557344436646,1.0302150249481201,235.8181657839148,147.51675135245983,71.84685384859327,972.5926605957876,0.11141610890626907,0.096959963,0.005478965,0.46783480048179626,0.089585106,0.046227887,0.0275,0.305,451.4515260029006,143.36646465669313,103.2877025006397,909.9403333077111,1480.577762143465,466.97120826546626,421.45137324663904,2700.03619,2961.857614018136,440.4566878809579,1630.571899688374,3929.1900310769925,Levantine Arabic
-523.6700439,116.48875427246094,-62.80493164,26.276643753051758,-26.33882141,-37.64588928,-4.825299263,-31.97055054,-20.65114975,1.8004807233810425,-26.16337395,-9.414212227,-3.036245346,-0.507366955,-0.185332239,0.09696012,0.014909212477505207,0.052895758,0.055491678,0.082135618,0.020239014,0.023850079625844955,-0.054347124,-0.013776907,0.061500192,-0.011997758,-0.16523461,-0.017739797,0.050860692,-0.038381964,0.008540563,-0.016329775,-0.007280343,0.035046059638261795,0.008112743,0.003856458,0.012163191102445126,-0.017097175,0.015826204791665077,107.77776336669922,58.199954986572266,52.136600494384766,50.00214767456055,27.76116371154785,30.959726333618164,27.47570801,17.976247787475586,23.206647872924805,18.90363883972168,18.74803924560547,15.546341896057129,11.565664291381836,21.880443572998047,10.256820678710938,8.173828125,6.997279644012451,4.846199035644531,4.920323848724365,4.563196659088135,3.469890594482422,4.0741963386535645,3.2192914485931396,2.946079730987549,2.819098949432373,2.1646502017974854,10.514720916748047,5.159945011138916,3.829894781112671,3.1922225952148438,2.4022417068481445,2.520376205444336,2.4210591316223145,2.022435188293457,1.9359116554260254,1.6605006456375122,1.6093674898147583,1.616977334022522,1.2793190479278564,310.66662327757837,279.02097750411843,86.78109875467301,1676.0866159813097,0.038583870977163315,0.024295372888445854,2.1253033992252313e-05,0.09893252,0.14249644381223328,0.1009714108313671,0.0325,0.405,621.8582890369113,386.9076704986731,106.09088549095101,2432.5454633627105,1758.0979095986665,535.4572168954929,384.5787050677822,3254.4730885179947,2789.513578358251,353.9209021948755,1224.0207958048961,3944.494985347691,Maghrebi Arabic
-534.4104614,109.23007202148438,-19.80959892,32.63861846923828,1.3530470132827759,-8.510500908,-6.505427837,-3.494713783,-2.896974087,-4.295426369,-3.82169199,-2.854353905,-3.969796181,0.074784838,0.056458723,-0.006063508,-0.005443992,0.00704342,-0.011755946,-0.027873106,-0.017267315,-0.011959749,-0.015978219,-0.019741058,-0.020039555,-0.007543173,0.010130648501217365,0.0047636,0.001758781,0.001168481,-0.00193658,0.010683598928153515,0.009369456,-0.00542345,-0.004455112,0.008290537,0.011049846187233925,1.556185816298239e-05,-0.005536724,90.31620788574219,20.857789993286133,38.02836608886719,21.790430068969727,20.492733001708984,16.142620086669922,16.316823959350586,15.772927284240723,18.633277893066406,12.272282600402832,11.515532493591309,11.82681655883789,12.218759536743164,9.833064079284668,3.100828170776367,4.781446457,2.767277479171753,2.5506680011749268,1.9501194953918457,2.023317575454712,1.8890368938446045,1.9094868898391724,1.7291083335876465,1.5864108800888062,1.5244336128234863,1.5921403169631958,3.9820120334625244,1.8320081233978271,2.257981300354004,1.5471251010894775,1.3915570974349976,1.2079689502716064,1.1664559841156006,1.0358104705810547,1.0876013040542603,1.1134904623031616,1.0342023372650146,1.0048484802246094,0.9883419871330261,413.24135499626686,408.1110401487576,71.43507966987939,2285.714285714286,0.020087486132979393,0.028089530766010284,0.001231537,0.16475653648376465,0.093070301,0.049778448,0.01,0.34,485.3560820457493,260.5012837354842,95.40136016217488,1923.3786691148666,1803.9077281176774,392.1682952639533,525.0829049626333,3708.8266108981556,2908.827157825079,491.8378642328693,1695.745093813933,3988.728285727903,Maghrebi Arabic
-450.6629333,76.14482116699219,8.236477851867676,21.617525100708008,-2.656550646,4.468754291534424,-8.885668755,-1.336078167,-14.52863693,8.236086845,-14.34705162,5.655508518218994,-7.428808212,0.02482089,0.11162877827882767,-0.039242648,0.056855023,0.06965299,0.010468575172126293,0.003903792,-0.006988096,0.076878838,-0.037723526,-0.064414628,-0.01143532,0.018165670335292816,0.049880262,0.030770370736718178,0.009748764,0.03744112,0.011470434255897999,-0.016668299,0.009073222,0.013379719108343124,-0.012088086,-0.027940996,-0.01266284,0.007934025,0.004511824,149.58314514160156,65.00503540039062,36.571617126464844,27.536991119384766,31.087488174438477,20.447467803955078,17.794408798217773,17.540849685668945,21.607309341430664,15.612876892089844,17.263790130615234,14.699061393737793,15.721832275390625,22.801002502441406,11.504942893981934,6.665821552276611,4.477069378,5.307372570037842,3.801771402359009,3.0941965579986572,2.7633554935455322,3.5867342948913574,2.6295111179351807,2.6225430965423584,2.357739210128784,2.483642816543579,9.334477424621582,4.684308052062988,3.073944330215454,1.9559129476547241,2.0918643474578857,1.8332194089889526,1.620684027671814,1.3864575624465942,1.667044997215271,1.383480191230774,1.2573213577270508,1.293285608291626,1.3702459335327148,257.98409884231285,321.80480464582826,96.24613749314416,2076.9046575694624,0.067157768,0.067477949,0.000617482,0.22373254597187042,0.16204136690647483,0.16280896498702382,0.015,0.765,453.66893343537606,278.27301837229754,95.51825316007806,2511.0651518470127,1713.1873803957571,543.0610727139493,530.3136138700027,3672.0518672154917,3212.531060261325,419.66772610972015,2083.951643,3999.2708389161867,Gulf Arabic
-355.086853,98.31548309326172,16.133975982666016,41.24209976196289,-19.41133118,-2.977323771,-22.60103798,-6.45871067,-13.44947624,-4.079976559,-9.797159195,-2.876431227,-3.300622463,0.02574339,0.041762386,0.033994205,-0.000162284,0.015580914914608002,0.022729496,-0.00949085,-0.006978776,-0.003563502,-0.002308826,-0.013852629,-0.02131485,-0.010328844,-0.023344474,-0.010824707,-0.00144692,-0.005639271,-0.009152004,-0.01036264,0.000354621,0.005365948,-0.002600782,0.001691087,-0.002011488,-0.017307755,-0.018442217,135.24273681640625,33.29892349243164,31.411746978759766,20.980871200561523,24.43227767944336,13.169865608215332,18.213760375976562,14.599081039428711,13.269186973571777,9.172921180725098,11.574551582336426,10.709891319274902,9.700490951538086,11.965642929077148,5.1161885261535645,4.291133403778076,3.2179982662200928,3.178908348083496,1.8885471820831299,2.147580385,2.176093816757202,1.8460254669189453,1.5191930532455444,1.569771171,1.7686235904693604,1.386548399925232,5.773412227630615,2.386685848236084,2.157637596130371,1.7019379138946533,1.7507822513580322,1.130779743,1.279727578163147,1.2797356843948364,1.0676246881484985,1.0353583097457886,1.092337727546692,1.107278585,0.9445295929908752,220.64287476861853,63.098426683044195,87.29836180538454,331.05044116944214,0.14031459391117096,0.13364849984645844,0.001480017,0.5745537877082825,0.086076067,0.053942883,0.02,0.3425,369.9185006503627,143.34628604266052,93.61003350283414,1451.8062127824319,1816.0665542219665,556.3435349964763,315.3030551,3134.8813580212186,3254.2351670061194,359.13193478816765,2315.6099255247914,3996.454877,Levantine Arabic
-382.000824,37.91088867,-16.22256088,42.236732482910156,-34.09155655,-19.61090279,-8.19229126,-5.708975792,-18.32871819,-6.009651184,-13.65779018,-2.287440062,-10.92691994,-0.1317707,-0.084228717,0.015335692092776299,0.011685529723763466,0.11433321982622147,0.06330049,0.080844142,0.034179411828517914,0.078957304,0.012369774281978607,-0.006296807,-0.025279723,-0.025334895,0.017746923491358757,-0.040976565,0.006819293,-0.009280643,-0.022436924,-0.001800351,-0.000100854,0.009051768,-0.006591311,0.025876235216856003,0.022121170535683632,0.013692207634449005,-0.019934548,112.71311950683594,78.99869537353516,55.345462799072266,34.74689483642578,32.113765716552734,22.898622512817383,18.968399047851562,25.180055618286133,21.367809295654297,16.105417251586914,15.023747444152832,16.546541213989258,13.947983741760254,16.902023315429688,11.15292739868164,7.725233554840088,4.341489791870117,4.399747848510742,2.9498672485351562,2.5834336280822754,3.3574435710906982,3.0065884590148926,2.256347179412842,2.1646368503570557,2.4843873977661133,2.276418924331665,6.157805919647217,3.7040231227874756,2.632788896560669,1.792007565498352,1.9633501768112183,1.418421745300293,1.2971763610839844,1.385611891746521,1.3093717098236084,1.1473435163497925,1.2288557291030884,1.2515438795089722,1.1384025812149048,505.0442661023135,554.2226962560696,76.21036143670442,2285.714285714286,0.096458107,0.086749434,0.003455699,0.46971556544303894,0.2639620758483034,0.19931368159647034,0.015,0.7775,536.1374642382351,341.1328859466994,111.65835456236465,2379.4093895917267,1892.303521789853,607.0189003467041,623.7473601,3321.254803675441,3062.407169780229,332.3258038820339,1606.1108624307653,3975.865709769537,Gulf Arabic
-392.2184448,74.45224762,-7.439054489,19.137487411499023,-9.621173859,4.779754638671875,-12.4744606,0.8120828866958618,-1.353299499,-3.795146942,-3.973157167,-1.00534308,-5.437194824,0.15311791002750397,0.027775637805461884,-0.053037539,-0.0096929,-0.015587725,-0.009237916,-0.02176892,0.001235886,-0.004706401,4.726601400761865e-05,-0.00230158,0.004535397,0.007522472,-0.010040306,-0.00488185,-0.00303466,-0.000251002,0.001796952,-0.003092487,-0.000271224,-0.004977416,-0.00141049,0.000261896,-0.005180386,-0.002434671,0.00250696,119.58116149902344,41.637420654296875,36.577640533447266,21.890087127685547,22.441410064697266,14.798096656799316,15.15689754486084,12.629722595214844,12.431748390197754,12.708358764648438,10.08582878112793,9.905670166015625,8.948672295,11.752067565917969,4.399394512176514,3.6068167686462402,2.5215940475463867,2.645787239074707,2.128695249557495,1.9542213678359985,1.896320104598999,1.807431697845459,1.7224489450454712,1.4372555017471313,1.3716049194335938,1.3655855655670166,4.980971813201904,2.228170156478882,1.8104890584945679,1.4764522314071655,1.3922802209854126,1.2596760988235474,1.2390129566192627,1.092333436012268,1.070819616317749,1.031856656074524,0.9838979244232178,0.9265381097793579,0.9318100214004517,217.38832564635058,204.3520443196751,65.30612245,2285.714285714286,0.088606685,0.1332934945821762,0.000600264,0.8497912883758545,0.13464678178963893,0.09982487,0.0025,0.64,511.3034643916265,248.57511270846376,90.08334493032012,1747.7144318391697,1733.5691791099182,416.0235478287243,259.3793134718897,3872.4716369167163,3360.571665461126,356.3319545565191,1661.2090213489203,3999.3584441330163,Egyptian Arabic
-314.7967224,127.56001281738281,-38.06842422,9.129027366638184,-33.28995132,-26.07401085,-17.44705582,-16.8820343,-14.56841183,-9.513106346,-14.34170532,-4.813656807,-9.208026886,-0.91102469,-0.085725158,0.19649741053581238,0.050569821149110794,0.080455646,0.10380386561155319,0.099726789,0.008796068,0.091140822,0.041164339,0.047081016,-0.018529667,0.025096965953707695,0.002184862,-0.022773886,0.016036699,-0.01511179,0.009646199,-0.00165631,0.016967274248600006,0.003822635,0.003917689,0.000601795,0.029769694432616234,-0.007051293,-0.013319558,110.60591888427734,47.05897141,47.52905273,29.24487305,24.187225341796875,20.520370483398438,18.88912582397461,20.335147857666016,16.035680770874023,14.307648658752441,14.240986824035645,12.006235122680664,12.906927108764648,14.848054885864258,6.250916481018066,6.115733623504639,4.0975470542907715,3.6693899631500244,3.377262830734253,2.199329137802124,2.873241424560547,2.3591504096984863,2.1976828575134277,2.0405161380767822,1.900216817855835,1.9321372509002686,6.084871292114258,2.6273109912872314,2.572810411453247,1.9303925037384033,1.7341185808181763,1.7615128755569458,1.311221718788147,1.4760044813156128,1.3254101276397705,1.3335776329040527,1.193097472190857,1.1155422925949097,1.2048856019973755,301.97781882041613,138.53603692773092,85.52344983856597,966.2022986682844,0.2658827006816864,0.1868402510881424,0.002421396,0.7378935217857361,0.090633733,0.057532513,0.0075,0.3375,535.7631442524017,178.50652288281668,100.65688591349203,1316.5111528834118,1581.9988861784745,597.8180811269707,469.7671576476318,3030.8596692165415,2844.735013637182,515.3519031,1236.393538869931,3971.289624713885,Egyptian Arabic
-558.9859619,126.54473876953125,-27.47567368,-1.748860836,-19.30482483,-1.667641163,-13.19168091,-5.124279976,-6.659818649,-8.150988579,-17.33798409,-7.88381052,-5.377532005,-0.033843488,-0.044196356,-0.030678021,-0.011120286,-0.001192269,-0.006438174,-0.0114969,-0.004033209,0.007430216,0.009964305,0.004800229,0.000337187,-0.001072528,-0.005663539,-0.003934737,0.00248375,0.004067505,0.002558831,0.001313934,-0.000587675,-0.002699842,-0.002408339,-0.000355074,0.001115303,0.001817035,0.0019402,123.22946166992188,38.22819519042969,45.79843521118164,27.871692657470703,23.441486358642578,18.74431037902832,19.40862274169922,18.929468154907227,16.68658447265625,12.843903541564941,17.16777992248535,13.574685096740723,15.184494972229004,8.825397491455078,3.6793718338012695,4.265296459197998,3.0395169258117676,2.3619680404663086,2.410776138305664,1.672069787979126,1.9509164094924927,2.167945623397827,1.5032174587249756,1.607971429824829,1.5896073579788208,1.5617014169692993,3.067117214202881,1.5906203985214233,1.6967378854751587,1.3982692956924438,1.2637861967086792,1.2654321193695068,1.0232311487197876,1.1422556638717651,1.1494866609573364,1.0241725444793701,1.0447224378585815,0.960598886,1.0122015476226807,282.92430623979493,111.15969270228892,70.80944773387198,1009.2695620001087,0.021396998316049576,0.02138989,0.000186545,0.09168046,0.085448954,0.050256857,0.0075,0.4625,509.34481891493397,204.02603490992422,90.08587991183038,1072.6572047076595,1421.3683538141304,384.78278127326263,261.68854725185093,2734.719187602302,2916.6607894173153,538.2302737,1088.7433852448323,3999.253538198531,Levantine Arabic
-637.1422119,162.7241973876953,28.446035385131836,21.013395309448242,0.10592818260192871,-10.96844387,-2.831482172,-22.6989994,-17.4851284,-8.737604141,-11.976017,-8.390310287,-12.7834034,0.076295882,0.06523405,0.019100882,0.013697929680347443,0.019402716,0.033273786306381226,0.044607636,0.03880851,0.035605472,0.036269739270210266,0.021197890862822533,0.010597231797873974,-0.00622165,-0.083473586,-0.107366025,-0.081360884,-0.051952176,-0.029318837,0.003178867,0.028160499408841133,0.036495566,0.035685267,0.025456168,0.021541787311434746,0.011819181,-0.000480995,98.58903503417969,73.57503509521484,56.294864654541016,48.52008056640625,26.10150146484375,24.339500427246094,18.29766273498535,19.70240020751953,17.730117797851562,17.564699172973633,13.635207176208496,12.222935676574707,11.509596824645996,18.837486267089844,13.818367004394531,9.907807350158691,7.551548004150391,5.028811454772949,4.276061534881592,3.0537922382354736,4.106629371643066,3.5883607864379883,3.612236261367798,2.5400569438934326,2.247652053833008,1.9317022562026978,9.061893463134766,6.106504917144775,4.263111114501953,3.7239327430725098,2.8774678707122803,2.5869216918945312,1.6805652379989624,2.0918989181518555,1.666656494140625,1.9718987941741943,1.4528217315673828,1.3053165674209595,1.1808725595474243,144.54045632154237,133.7397880976902,65.30612245,819.6738275273982,0.029635537415742874,0.022186566,7.271577487699687e-05,0.097545438,0.077370317,0.067999018,0.02,0.4025,460.8047901178666,385.5402267924905,100.67428763329082,2443.453287390864,1344.2073784768872,747.4332412382603,252.67347845798133,3453.628208325181,3028.036763661994,564.0119291285805,662.4755574395999,3992.9200132518117,Levantine Arabic
